"statistikkvariabel"	"konsumgruppe"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Årsendring (prosent)"	"07.3.1 Passasjertransport på skinner"	..	10.4	24.3	21.8	11.3	6.2	6.5	5.5	9.3	8.3	7.7	5.2	6.1	6.0	0.7	0.0	0.4	4.7	0.5	2.7	4.7	2.9	4.0	6.0	3.2	2.9	4.5	2.9	2.7	0.8	3.7	3.9	2.6	0.2	1.7	2.3	3.0	1.5	-0.3	4.5	6.0	3.3	2.6	2.4
"Årsendring (prosent)"	"07.3.2 Passasjertransport på vei"	..	12.7	29.3	18.6	12.3	7.4	6.5	6.1	10.1	9.5	6.6	3.9	5.1	2.3	3.3	2.2	5.2	2.9	2.6	1.9	4.8	7.8	8.9	2.9	7.0	4.8	1.2	3.2	2.3	4.4	6.0	1.5	1.2	6.9	3.8	4.5	4.9	3.2	2.9	2.4	2.9	3.4	-1.0	4.2
"Årsendring (prosent)"	"07.3.3 Passasjertransport med fly"	..	19.8	11.7	9.8	12.3	5.5	7.3	5.1	5.5	1.7	7.9	5.4	6.8	2.5	3.1	1.0	4.1	5.7	3.9	7.7	3.6	15.3	19.6	-3.1	-6.3	-14.7	9.0	4.0	1.3	5.9	-1.5	-6.4	-1.6	4.7	0.4	-0.6	5.3	14.1	-4.9	-2.7	10.8	0.9	-10.6	20.9
"Årsendring (prosent)"	"07.3.4 Passasjertransport i båt"	..	11.8	27.8	16.5	19.7	13.1	4.5	6.8	6.4	6.9	9.4	5.4	7.1	6.4	2.2	0.9	2.2	1.5	-2.1	2.8	6.9	8.0	6.1	3.6	3.6	1.4	7.8	5.5	6.9	4.1	2.7	2.0	-6.2	4.9	5.1	5.7	7.6	3.6	6.7	7.1	4.2	3.4	-7.4	-9.5
"Årsendring (prosent)"	"08.1.0 Posttjenester"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	5.1	5.8	5.9	-0.3	3.8	4.4	4.0	11.0	7.5	7.9	6.2	3.2	1.8
"Årsendring (prosent)"	"08.2.0 Teleutstyr"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	-8.4	-8.7	-10.1	-5.7	-3.3	16.1	12.9	-2.3	-3.4	2.6	3.9	1.5	-1.7
"Årsendring (prosent)"	"08.3.0 Teletjenester"	..	6.8	13.4	19.3	6.0	3.1	-1.5	0.0	1.8	0.3	2.7	-8.0	-18.1	-5.4	-9.0	-8.1	-6.4	-2.1	-2.9	-4.4	-8.0	-3.6	-4.8	2.4	-0.9	-2.3	-0.8	-3.0	-5.5	-4.5	-8.8	-1.7	-1.0	-5.6	-1.5	-0.7	-1.6	2.4	1.3	1.6	3.2	5.0	1.4	1.8
"Årsendring (prosent)"	"09.1.1 Audiovisuelt utstyr"	..	0.1	-0.9	1.6	0.1	-0.6	0.8	1.8	4.6	-1.9	-2.5	0.4	-0.1	-0.5	1.4	-2.0	-5.1	-7.2	-4.2	-2.8	-3.4	-5.4	-8.9	-7.0	-8.8	-8.6	-8.5	-9.7	-6.7	-9.1	-7.3	-4.4	-7.6	-6.0	-0.8	-2.0	0.3	2.2	2.1	-0.9	-0.9	2.5	1.0	-2.4
"Årsendring (prosent)"	"09.1.2 Foto og kinematografisk utstyr, samt optiske instrumenter"	..	-0.9	3.1	0.8	1.5	3.1	4.5	2.5	3.3	-1.9	-12.8	-5.4	-6.1	-1.8	1.9	1.2	-1.6	-4.9	-9.2	-4.7	-4.6	-4.1	-0.8	-6.1	-10.5	-10.4	-10.3	-3.0	-8.3	-13.1	-5.9	-6.9	-17.4	-8.7	-4.8	-0.1	5.9	4.6	2.8	3.6	1.9	5.8	0.8	1.9
"Årsendring (prosent)"	"09.1.3 IT-utstyr"	.	.	.	.	.	.	.	..	6.2	-2.2	-6.7	-2.3	-5.1	-4.5	3.2	1.6	2.3	-0.1	-2.7	-14.5	-18.4	-14.5	-16.5	-10.9	-11.6	-8.5	-9.1	-11.1	-8.7	-12.1	-5.0	-5.0	-7.4	-5.3	-2.7	0.4	5.2	1.7	-2.3	-0.3	-0.8	2.1	5.6	0.8
